url,canonical_contract,indexable_contract,status_contract,primary_cta,source,source_sha,gsc_clicks,gsc_impressions,ctr,avg_position
/,/,yes,200,Check AI visibility or discuss an AI system,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab,/lab,yes,200,Read a guide or run a check,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab,/ru/lab,yes,200,Открыть руководство или проверку,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/research,/lab/research,yes,200,Explore AI Visibility research,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/research,/ru/lab/research,yes,200,Открыть исследования AI Visibility,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/guides,/lab/guides,yes,200,Run Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/guides,/ru/lab/guides,yes,200,Запустить Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/experiments,/lab/experiments,yes,200,Read methodology,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/experiments,/ru/lab/experiments,yes,200,Открыть методологию,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/articles,/lab/articles,yes,200,Run Public Readiness or discuss services,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/articles,/ru/lab/articles,yes,200,Запустить Public Readiness или обсудить услугу,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/articles/what-is-ai-visibility,/lab/articles/what-is-ai-visibility,yes,200,Explore AI Visibility,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/articles/what-is-ai-visibility,/ru/lab/articles/what-is-ai-visibility,yes,200,Открыть AI Visibility,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/guides/prepare-site-for-ai-systems,/lab/guides/prepare-site-for-ai-systems,yes,200,Run Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/guides/prepare-site-for-ai-systems,/ru/lab/guides/prepare-site-for-ai-systems,yes,200,Запустить Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/guides/read-ai-visibility-report-evidence,/lab/guides/read-ai-visibility-report-evidence,yes,200,Explore AI Visibility,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/guides/read-ai-visibility-report-evidence,/ru/lab/guides/read-ai-visibility-report-evidence,yes,200,Открыть AI Visibility,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/lab/courses,/lab/courses,no,200 noindex,Read free Lab materials,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/lab/courses,/ru/lab/courses,no,200 noindex,Открыть бесплатные материалы Lab,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/about,/about,yes,200,Contact Selena Systems,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/contact,/contact,yes,200,Send a brief,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/en/contact,/en/contact,yes,200,Send a brief,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/privacy,/privacy,yes,200,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/en/privacy,/en/privacy,yes,200,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/terms,/terms,yes,200,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/en/terms,/en/terms,yes,200,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/en,/,no,308,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/services,/ai-systems,no,308,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/free-ai-map,/ai-systems,no,308,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/ai-map,/ru#ai-systems,no,308,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-visibility,/visibility,no,308,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/ai-visibility,/ru/visibility,no,308,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/report/sample,/check,no,404,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/report/[token],/check,no,404/410,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/report/sample,/ru/check,no,404,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/report/[token],/ru/check,no,404/410,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/robots.txt,n/a,n/a,200,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/sitemap.xml,n/a,n/a,200,None,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
